org,sector,ein,tax_year,total_revenue,total_expenses,contributions,program_revenue,investment_income,salaries_wages,officer_compensation,total_assets_end,total_liabilities_end,net_assets_end,operating_margin,reserve_months,compensation_ratio,contribution_share,program_revenue_share,investment_income_share,leverage,largest_revenue_category_share,revenue_growth_yoy
Khan Academy Inc,Education,261544963,2010,1825721,236576,1800858,2700,250,7570,120833,1622921,16528,1606393,0.8704205078432028,81.48212836466928,0.5427558163127283,0.9863818184706207,0.0014788678007209206,0.00013693220377045562,0.010184106312013955,0.9863818184706207,
Khan Academy Inc,Education,261544963,2011,11845812,2953145,11795044,0,2044,1291859,730850,11734851,158022,11576829,0.7507013449141351,47.0420341703506,0.6849338586489996,0.9957142659363495,0.0,0.00017255043385797444,0.013466042304243999,0.9957142659363495,5.488292570442034
Khan Academy Inc,Education,261544963,2012,15794916,7289182,15217920,557962,477,2730225,2472736,21614780,1530825,20083955,0.538510872739051,33.06371826084189,0.71379216488215,0.9634695113288352,0.03532541736847477,3.019959080504132e-05,0.07082306643879789,0.9634695113288352,0.3333755423435725
Khan Academy Inc,Education,261544963,2013,34006532,11300906,29580755,4390785,984,5613421,1502900,44448296,1670231,42778065,0.667684255483623,45.42439163727227,0.6297124319059021,0.869855091368917,0.12911592984547793,2.8935617427851803e-05,0.037576941082285806,0.869855091368917,1.1530049289277637
Khan Academy Inc,Education,261544963,2014,33663239,19103502,29695052,3969252,7980,8370304,2488308,60627140,3275513,57351627,0.4325114704500063,36.02583044721329,0.5684094989494596,0.8821210579290959,0.11791057895528116,0.0002370538378674732,0.05402717330885145,0.8821210579290959,-0.010094913530141802
Khan Academy Inc,Education,261544963,2015,27945225,24113592,24353123,3543176,16175,11139820,2817396,65124962,4001430,61123532,0.13711226157599377,30.417798559418273,0.5788111534772588,0.8714591848875792,0.1267900330020603,0.0005788108701933872,0.06144233911414797,0.8714591848875792,-0.16985929369422825
Khan Academy Inc,Education,261544963,2016,44823044,29353552,36347249,8346429,102791,14816222,2012758,84826844,8147052,76679792,0.3451236377431216,31.347398911041495,0.573320053395923,0.810905412849694,0.18620843778481444,0.0022932623674554544,0.09604332326686585,0.810905412849694,0.603960748213693
Khan Academy Inc,Education,261544963,2017,52809375,37495508,42784250,9383997,595783,20734117,2221825,101492821,9774478,91718343,0.2899838712349843,29.353385904252853,0.6122317905387493,0.8101639150245576,0.1776956648322386,0.01128176578495769,0.09630708757223332,0.8101639150245576,0.17817466836924334
Khan Academy Inc,Education,261544963,2018,42742920,48863733,31433356,10327301,963868,26496669,2510760,97940308,12370094,85570214,-0.14320062831458402,21.014410994755558,0.5936392334167346,0.7354049746718286,0.24161430711799756,0.022550354538248673,0.12630238001702015,0.7354049746718286,-0.19061871116634121
Khan Academy Inc,Education,261544963,2019,46244725,54324592,27629684,17240125,1313365,28530287,3279488,86675767,8822913,77852854,-0.17471975452335375,17.197262116575125,0.58555018692087,0.5974667164741492,0.37280197903652795,0.02840032025274234,0.10179215374004132,0.5974667164741492,0.08192713553496112
Khan Academy Inc,Education,261544963,2020,79340879,56776201,65711147,12611627,902990,31724942,3412088,115080607,14355478,100725129,0.28440166386359295,21.288876795402356,0.6188689870250389,0.8282129947161286,0.15895496948048685,0.011381144390900938,0.12474280744800034,0.8282129947161286,0.7156741444564758
Khan Academy Inc,Education,261544963,2021,59263743,53879015,48693146,9355361,1221511,29332523,3750144,115035528,9272154,105763374,0.09086041021742416,23.555747780467033,0.6140176653192342,0.8216346713031608,0.15785977271128487,0.020611438599144844,0.08060252481302993,0.8216346713031608,-0.25304907448781855
Khan Academy Inc,Education,261544963,2022,53234817,58157502,39984004,12923384,1382302,32419632,4309027,105255724,11532697,93723027,-0.092471154733189,19.33845652449103,0.6315377679048182,0.7510874696911234,0.24276187518405482,0.025966126642268723,0.10956835943668014,0.7510874696911234,-0.10173042900783369
Khan Academy Inc,Education,261544963,2023,98267721,68127201,84189187,12064239,2810406,37104487,5786200,136250357,7728577,128521780,0.30671841875726413,22.637967469117072,0.6295677258192363,0.8567328736564471,0.12276909322034649,0.02859948283526388,0.05672335229184023,0.8567328736564471,0.8459295351761986
Kiva Microfunds,Financial Inclusion,710992446,2011,12058555,10119132,11959428,0,95691,2877212,1531837,13741424,721331,13020093,0.1608337814937196,15.440169769501969,0.4357141501860041,0.9917795291392708,0.0,0.007935527930170739,0.0524931768352392,0.9917795291392708,
Kiva Microfunds,Financial Inclusion,710992446,2012,15632786,12482528,15555107,0,76774,4047098,1629746,17195184,946546,16248638,0.20151609572343662,15.620526226738686,0.45478319776250453,0.9950310200625787,0.0,0.004911088784814172,0.055047157390115745,0.9950310200625787,0.29640624436344165
Kiva Microfunds,Financial Inclusion,710992446,2013,20787434,14795733,20468745,240137,82029,4306972,2321747,23251120,1092867,22158253,0.2882366818338425,17.971332410499702,0.4480155866559636,0.9846691515653159,0.011552027056345676,0.003946085890158449,0.04700276803870093,0.9846691515653159,0.3297331646451247
Kiva Microfunds,Financial Inclusion,710992446,2014,16628214,15274691,16402028,149745,68509,4844181,2210742,24753734,1211161,23542573,0.08139918093428435,18.49535784390008,0.46187009609556096,0.98639745675633,0.009005477076491799,0.004120045604416686,0.048928416213893225,0.98639745675633,-0.20008337729418646
Kiva Microfunds,Financial Inclusion,710992446,2015,19847885,15915830,19779764,0,47115,4582468,2693134,28633236,1243397,27389839,0.1981095214930961,20.65101650369475,0.45712991405412096,0.9965678458939076,0.0,0.0023738045640631232,0.04342495553069866,0.9965678458939076,0.19362698844265536
Kiva Microfunds,Financial Inclusion,710992446,2016,17219880,16895877,17070812,0,116184,6334843,2032114,39766482,12069603,27696879,0.01881563634589788,19.67122203837066,0.49520702595076893,0.9913432613932269,0.0,0.006747085345542477,0.3035119626624251,0.9913432613932269,-0.13240730687425895
